gtin,item code,description
2.08845E+13,IPC0025,INDIBA® Proionic® Care Cream (1000ml)
2.08845E+13,133650,"Premium Surgiclip™ III S- 9.0 Clip Applier, 20 Small Titanium Clips, Box of 6"
2.08845E+13,VLOCL0604,"V-Loc 180 3-0 15CM Green, Loop, Anchoring System 1/2 Circl"
2.08845E+13,974-0521-6,STROMATOLYSER WH 500MLX3
2.08845E+13,133311,US OPTIRAY 350MG 100ML VIAL X12
2.08845E+13,SS-683, Sofsilk 4-0 45CM Black Wax Coated 3/8 Circle 19MM Reverse C
1.49876E+13,974-0521-6,STROMATOLYSER WH 500MLX3
3.08845E+13,GIA6038S,MULTIFIRE GIA * 60-3.8 RELOADABLE D
1.08017E+13,DS4001,EnCor Enspire Vacuum and Rinse Tubing Cassette Assembly - 12 UNITS
2.08845E+13,E1455,"ENT/IMA ELECTRODE WITH 0,5CM EXPOSE, 50/Box"
4.98756E+12,CT661628,CELLPACK DCL 20L
